Comment,Designator,Footprint,LCSC Part #,Quantity,Manufacturer Part Number
4.7uF / 16V,"C1,C5,C6",C_0603_1608Metric,C19666,3,CL10A475KO8NNNC
47uF / 6.3V,"C2,C13",C_0805_2012Metric,C16780,2,CL21A476MQYNNNE
22uF / 10V,C3,C_0805_2012Metric,C29277,1,CL21A226MPQNNNE
100nF / 16V,"C4,C7,C8,C9,C11",C_0402_1005Metric,C1525,5,CL05B104KO5NNNC
1uF / 25V,C10,C_0402_1005Metric,C52923,1,CL05A105KA5NQNC
LTST-C19HE1WT / CA,D1,LED_LiteOn_LTST-C19HE1WT,C458749,1,LTST-C19HE1WT
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,TYPE-C-31-M-12
5.1k,"R1,R2",R_0402_1005Metric,C25905,2,0402WGF5101TCE
22R,"R3,R4",R_0402_1005Metric,C25092,2,0402WGF220JTCE
100k,"R5,R14,R15",R_0402_1005Metric,C25741,3,0402WGF1003TCE
10k,"R7,R8,R9,R10,R23",R_0402_1005Metric,C25744,5,0402WGF1002TCE
1k,"R11,R12,R13",R_0402_1005Metric,C11702,3,0402WGF1001TCE
4.7k 1%,"R16,R17,R18,R19,R22",R_0402_1005Metric,C25900,5,0402WGF4701TCE
200k 1%,R20,R_0402_1005Metric,C25764,1,0402WGF2003TCE
8.2k,R21,R_0402_1005Metric,C25924,1,0402WGF8201TCE
RESET,"SW2,SW3",TS1088,C720477,2,TS-1088-AR02016
ESP32-C3-MINI-1-N4,U1,ESP32-C3-MINI-1,C2838502,1,ESP32-C3-MINI-1-N4
ICM-20948,U2,InvenSense_QFN-24_3x3mm_P0.4mm,C726001,1,ICM-20948
PCA9306DCUR,U3,PCA9306_DCU0008A,C33196,1,PCA9306DCUR
AP2112K-3.3TRG1,U4,SOT-23-5,C51118,1,AP2112K-3.3TRG1
AP2112K-1.8TRG1,U5,SOT-23-5,C176944,1,AP2112K-1.8TRG1
BQ24074RGTR,U6,BQ24074_RGT,C54313,1,BQ24074RGTR
USBLC6-2SC6,U8,SOT-23-6,C7519,1,USBLC6-2SC6
"PESD5V0S2BT,215",U9,SOT-23,C49338,1,"PESD5V0S2BT,215"
