Designator,Mid X,Mid Y,Layer,Rotation
C1,10.4250,18.9000,Top,0.00
C2,14.0500,22.3000,Top,0.00
C3,8.0500,12.2000,Top,180.00
C4,6.4800,29.5000,Top,0.00
C5,8.0250,10.4000,Top,0.00
C6,20.5750,12.0000,Top,0.00
C7,12.1200,11.2000,Top,0.00
C8,12.1200,12.2000,Top,0.00
C9,11.3200,5.9000,Top,0.00
C10,1.5200,20.2000,Top,180.00
C11,13.3200,18.7000,Top,0.00
C13,7.3000,15.0500,Top,270.00
D1,2.7950,26.6750,Top,270.00
J1,21.1000,18.2000,Top,90.00
R1,15.1000,17.9100,Top,270.00
R2,15.1000,20.0000,Top,90.00
R3,23.8000,28.7000,Top,90.00
R4,21.9900,28.7000,Top,180.00
R5,7.8000,22.4900,Top,90.00
R7,3.5900,20.2000,Top,180.00
R8,5.6100,20.2000,Top,0.00
R9,6.8000,30.9900,Top,270.00
R10,6.8000,33.0900,Top,90.00
R11,5.6100,28.5000,Top,180.00
R12,5.6100,27.2000,Top,180.00
R13,5.6100,26.0000,Top,180.00
R14,12.8000,20.2900,Top,270.00
R15,13.9000,20.2900,Top,90.00
R16,15.6900,5.8000,Top,0.00
R17,17.7100,5.8000,Top,180.00
R18,14.1100,11.2000,Top,0.00
R19,15.5900,12.3000,Top,0.00
R20,18.4000,10.6900,Top,270.00
R21,13.3500,16.4000,Top,0.00
R22,8.3000,18.7900,Top,270.00
R23,13.3500,17.6000,Top,0.00
SW2,3.3750,22.6000,Top,180.00
SW3,3.3750,17.6000,Top,180.00
U1,14.2000,32.1000,Top,0.00
U2,12.5000,8.5000,Top,270.00
U3,16.4500,8.7500,Top,90.00
U4,10.2500,15.4625,Top,270.00
U5,8.0500,7.4375,Top,270.00
U6,10.1700,21.6700,Top,180.00
U8,22.8000,25.6625,Top,270.00
U9,14.0000,13.7375,Top,270.00
