Designator,Mid X,Mid Y,Layer,Rotation
C1,7.800000,16.600000,Top,0.000
C2,12.800000,16.000000,Top,90.000
C3,2.800000,32.000000,Top,90.000
C4,5.000000,31.800000,Top,90.000
C10,3.800000,20.000000,Top,90.000
C11,6.200000,22.600000,Top,0.000
C13,3.200000,24.000000,Top,0.000
D1,19.150000,12.300000,Top,0.000
J1,19.880000,3.000000,Top,0.000
J2,20.100000,18.500000,Top,90.000
J4,4.900000,9.000000,Top,270.000
R1,15.400000,9.200000,Top,0.000
R2,18.200000,9.200000,Top,0.000
R3,20.400000,26.000000,Top,0.000
R4,20.400000,27.200000,Top,0.000
R5,12.800000,22.600000,Top,0.000
R7,2.000000,20.000000,Top,90.000
R8,14.400000,22.400000,Top,90.000
R9,1.200000,32.000000,Top,90.000
R10,14.000000,20.800000,Top,0.000
R11,19.800000,9.400000,Top,90.000
R12,13.400000,1.600000,Top,0.000
R13,11.200000,1.600000,Top,0.000
R14,8.200000,22.600000,Top,0.000
R15,10.400000,22.600000,Top,0.000
R21,11.000000,20.600000,Top,90.000
R22,11.000000,18.000000,Top,270.000
R23,4.800000,17.600000,Top,0.000
SW2,12.300000,11.300000,Top,90.000
SW3,12.300000,5.000000,Top,90.000
U1,12.500000,32.100000,Top,0.000
U4,2.800000,27.300000,Top,0.000
U6,8.000000,19.900000,Top,0.000
U8,22.500000,10.400000,Top,0.000
U9,16.200000,12.000000,Top,90.000
