Reference,Before X,Before Y,Before deg,After X,After Y,After deg
SW2,121.5,125.2,90.0,111.0,124.1,0.0
R17,107.25,124.0,90.0,106.7,126.9,0.0
D1,116.0,126.8,0.0,115.1,126.3,0.0
R23,101.25,124.5,0.0,103.25,124.4,0.0
R2,118.25,123.0,0.0,116.8,123.3,90.0
J2,112.5,132.6,0.0,121.3,126.5,0.0
C1,102.75,130.0,0.0,106.5,125.5,0.0
R13,116.0,124.0,0.0,118.75,123.25,0.0
R22,105.75,129.5,180.0,102.05,129.25,0.0
U9,108.5,120.5,90.0,108.5,120.25,90.0
U6,102.75,127.0,0.0,102.75,126.85,0.0
R12,114.2,128.3,90.0,117.35,127.7,90.0
R11,114.2,126.0,90.0,117.35,125.5,90.0
C2,106.75,127.0,90.0,106.35,128.6,0.0
R16,104.75,124.5,0.0,115.1,128.65,0.0
R21,103.0,124.0,90.0,101.5,124.0,90.0
SW3,110.0,127.0,90.0,111.0,127.85,0.0
