reference,value,group,old_x_mm,old_y_mm,old_deg,old_layer,new_x_mm,new_y_mm,new_deg,new_layer
C1,4.7uF / 16V,POWER,106.5,125.5,0.0,F.Cu,111.75,122.15,0.0,F.Cu
C10,1uF / 25V,UI,107.25,114.75,90.0,F.Cu,106.2,110.25,0.0,F.Cu
C11,100nF / 16V,POWER,106.25,113.0,0.0,F.Cu,106.2,111.35,0.0,F.Cu
C13,47uF / 6.3V,POWER,106.25,110.5,90.0,F.Cu,111.9,116.6,0.0,F.Cu
C2,47uF / 6.3V,POWER,106.35,128.6,0.0,F.Cu,114.75,119.6,90.0,F.Cu
C3,22uF / 10V,POWER,102.75,108.25,180.0,F.Cu,108.25,116.6,0.0,F.Cu
C4,100nF / 16V,POWER,105.75,108.0,180.0,F.Cu,106.8,103.1,90.0,F.Cu
C5,4.7u / 16V X5R,IMU,102.0,119.25,0.0,F.Cu,104.5,121.55,0.0,F.Cu
C6,4.7u / 16V X5R,IMU,105.75,116.25,-90.0,F.Cu,105.5,128.0,0.0,F.Cu
C7,100n / 16V,IMU,111.25,120.75,-90.0,F.Cu,111.15,129.25,0.0,F.Cu
C8,100n / 16V,IMU,109.75,115.5,-90.0,F.Cu,109.25,126.9,-90.0,F.Cu
C9,100n / 16V,IMU,109.25,117.75,180.0,F.Cu,109.25,128.449999,180.0,F.Cu
D1,LTST-C19HE1WT / CA,UI,109.725,126.025,90.0,F.Cu,105.7,113.2,90.0,F.Cu
J1,TYPE-C-31-M-12,FIXED,121.1,116.8,90.0,F.Cu,121.1,116.8,90.0,F.Cu
J2,Battery wire pads 2.54mm,FIXED,122.5,103.23,90.0,F.Cu,122.5,103.23,90.0,F.Cu
R1,5.1k,USB,115.0,121.5,90.0,F.Cu,116.35,126.5,0.0,F.Cu
R10,10k,UI,108.5,114.5,90.0,F.Cu,105.2,119.65,0.0,F.Cu
R11,1k,UI,109.5,123.41,-90.0,F.Cu,105.2,115.2,0.0,F.Cu
R12,1k,UI,110.7,123.41,-90.0,F.Cu,105.2,116.3,0.0,F.Cu
R13,1k,UI,110.5,128.71,90.0,F.Cu,105.2,117.4,0.0,F.Cu
R14,100k,POWER,108.5,112.75,0.0,F.Cu,106.2,106.85,0.0,F.Cu
R15,100k,POWER,110.75,112.75,90.0,F.Cu,106.2,107.95,180.0,F.Cu
R16,4.7k 1%,IMU,109.4,128.71,90.0,F.Cu,115.55,129.15,0.0,F.Cu
R17,4.7k 1%,IMU,106.7,126.9,0.0,F.Cu,113.25,129.15,0.0,F.Cu
R18,4.7k 1%,IMU,108.0,116.5,0.0,F.Cu,107.8,120.55,0.0,F.Cu
R19,4.7k 1%,IMU,113.25,120.25,0.0,F.Cu,110.5,123.8,0.0,F.Cu
R2,5.1k,USB,108.3,123.41,-90.0,F.Cu,116.35,127.65,0.0,F.Cu
R20,200k 1%,IMU,101.5,122.0,90.0,F.Cu,107.8,126.9,90.0,F.Cu
R21,8.2k,POWER,101.5,124.0,90.0,F.Cu,114.05,122.4,90.0,F.Cu
R22,4.7k,POWER,102.05,129.25,0.0,F.Cu,108.0,119.45,0.0,F.Cu
R23,10k,POWER,103.25,124.4,0.0,F.Cu,112.55,123.8,0.0,F.Cu
R3,22R,USB,122.25,110.5,0.0,F.Cu,122.25,110.5,0.0,F.Cu
R4,22R,USB,123.0,108.75,90.0,F.Cu,123.0,108.75,90.0,F.Cu
R5,100k,POWER,113.0,121.5,0.0,F.Cu,108.0,118.3,0.0,F.Cu
R7,10k,UI,102.75,121.25,90.0,F.Cu,106.2,109.05,0.0,F.Cu
R8,10k,UI,121.75,108.75,90.0,F.Cu,105.2,118.55,0.0,F.Cu
R9,10k,UI,122.49,107.0,0.0,F.Cu,106.8,105.4,90.0,F.Cu
SW2,RESET,UI,114.725,124.5,0.0,F.Cu,102.4,109.35,90.0,F.Cu
SW3,BOOT / USER,UI,114.725,128.1,0.0,F.Cu,102.4,115.45,90.0,F.Cu
U1,ESP32-C3-MINI-1-N4,FIXED,114.2,102.9,0.0,F.Cu,114.2,102.9,0.0,F.Cu
U2,ICM-20948,IMU,112.5,117.5,-90.0,F.Cu,112.5,126.5,-90.0,F.Cu
U3,PCA9306DCUR,IMU,105.25,121.5,-90.0,F.Cu,108.25,123.5,90.0,F.Cu
U4,AP2112K-3.3TRG1,POWER,103.0,111.25,0.0,F.Cu,109.25,113.4,180.0,F.Cu
U5,AP2112K-1.8TRG1,IMU,103.0,116.25,-90.0,F.Cu,104.5,124.6,-90.0,F.Cu
U6,BQ24074RGTR,POWER,102.75,126.85,0.0,F.Cu,111.9,119.5,180.0,F.Cu
U8,USBLC6-2SC6,USB,113.5,113.5,0.0,F.Cu,113.5,113.5,0.0,F.Cu
U9,"PESD5V0S2BT,215",USB,108.5,120.25,90.0,F.Cu,116.6,123.95,0.0,F.Cu
